,Title,Genres,Cast,Budget,Revenue,Popularity,Vote_average,Release_decade
254,Captain America: The Winter Soldier,"['Action', 'Adventure', 'Science Fiction']","['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders']",170000000,714766572,49.046,7.676,2010s
255,Spider-Man: No Way Home,"['Action', 'Adventure', 'Science Fiction']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau']",200000000,1921847111,400.359,8.009,2020s
256,John Wick,"['Action', 'Thriller']","['Keanu Reeves', 'Michael Nyqvist', 'Ian McShane', 'John Leguizamo', 'Willem Dafoe']",20000000,88761661,231.342,7.402,2010s
257,Coco,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach', 'Renée Victor']",175000000,800526015,144.051,8.225,2010s
258,Spider-Man,"['Fantasy', 'Action']","['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco', 'Cliff Robertson']",139000000,821708551,86.918,7.266,2000s
259,The Hobbit: An Unexpected Journey,"['Adventure', 'Fantasy', 'Action']","['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Graham McTavish', 'Aidan Turner']",250000000,1021103568,80.461,7.334,2010s
260,WALL·E,"['Animation', 'Family', 'Science Fiction']","['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger']",180000000,521311860,85.518,8.075,2000s
261,Gone Girl,"['Mystery', 'Thriller', 'Drama']","['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry', 'Carrie Coon']",61000000,369330363,50.802,7.892,2010s
262,The Revenant,"['Western', 'Drama', 'Adventure']","['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson', 'Will Poulter', 'Forrest Goodluck']",135000000,532950503,47.12,7.521,2010s
263,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']","['Ben Affleck', 'Henry Cavill', 'Jesse Eisenberg', 'Gal Gadot', 'Amy Adams']",250000000,873637528,79.6,5.943,2010s
264,"Monsters, Inc.","['Animation', 'Comedy', 'Family']","['John Goodman', 'Billy Crystal', 'Mary Gibbs', 'Steve Buscemi', 'James Coburn']",115000000,579707738,176.233,7.829,2000s
265,Toy Story,"['Animation', 'Adventure', 'Family', 'Comedy']","['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn']",30000000,373554033,127.999,7.968,1990s
266,The Lion King,"['Family', 'Animation', 'Drama']","['Jonathan Taylor Thomas', 'Matthew Broderick', 'James Earl Jones', 'Jeremy Irons', 'Moira Kelly']",45000000,763455561,145.95,8.258,1990s
267,Gladiator,"['Action', 'Drama', 'Adventure']","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris']",103000000,465361176,50.868,8.205,2000s
268,The Incredibles,"['Action', 'Adventure', 'Animation', 'Family']","['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Spencer Fox', 'Jason Lee']",92000000,631442092,75.887,7.701,2000s
269,The Truman Show,"['Comedy', 'Drama']","['Jim Carrey', 'Laura Linney', 'Noah Emmerich', 'Natascha McElhone', 'Holland Taylor']",60000000,264118201,54.379,8.129,1990s
270,Saving Private Ryan,"['Drama', 'History', 'War']","['Tom Hanks', 'Tom Sizemore', 'Edward Burns', 'Matt Damon', 'Barry Pepper']",70000000,481840909,84.065,8.207,1990s
271,The Prestige,"['Drama', 'Mystery', 'Science Fiction']","['Hugh Jackman', 'Christian Bale', 'Michael Caine', 'Scarlett Johansson', 'Rebecca Hall']",40000000,109676311,39.109,8.203,2000s
272,X-Men: Days of Future Past,"['Action', 'Adventure', 'Science Fiction']","['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult']",250000000,747862775,72.644,7.522,2010s
273,World War Z,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz', 'James Badge Dale', 'Ludi Boeken']",200000000,531865000,94.698,6.801,2010s
274,Schindler's List,"['Drama', 'History', 'War']","['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall']",22000000,321365567,42.346,8.569,1990s
275,Rogue One: A Star Wars Story,"['Action', 'Adventure', 'Science Fiction']","['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen', 'Jiang Wen']",200000000,1056057273,37.696,7.488,2010s
276,Ready Player One,"['Science Fiction', 'Adventure', 'Action']","['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'Lena Waithe', 'T.J. Miller']",175000000,582890172,82.179,7.613,2010s
277,Man of Steel,"['Action', 'Adventure', 'Science Fiction']","['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Diane Lane', 'Russell Crowe']",225000000,668045518,76.864,6.603,2010s
278,Spider-Man: Far From Home,"['Action', 'Adventure', 'Science Fiction']","['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei', 'Jon Favreau']",160000000,1131927996,85.837,7.461,2010s
279,Star Wars: The Last Jedi,"['Adventure', 'Action', 'Science Fiction']","['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega']",200000000,1332698830,56.292,6.838,2010s
280,Despicable Me,"['Family', 'Animation', 'Comedy', 'Crime']","['Steve Carell', 'Miranda Cosgrove', 'Dana Gaier', 'Elsie Fisher', 'Jason Segel']",69000000,533679475,82.079,7.223,2010s
281,Catch Me If You Can,"['Drama', 'Crime']","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen', 'Nathalie Baye']",52000000,352114312,92.996,7.965,2000s
282,Spider-Man 2,"['Action', 'Adventure', 'Fantasy']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris']",200000000,783766341,30.975,7.24,2000s
283,Charlie and the Chocolate Factory,"['Adventure', 'Comedy', 'Family', 'Fantasy']","['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter', 'Noah Taylor']",150000000,474968763,111.885,7.038,2000s
284,Toy Story 3,"['Animation', 'Family', 'Comedy']","['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Wallace Shawn']",200000000,1066969703,92.112,7.791,2010s
285,Whiplash,"['Drama', 'Music']","['Miles Teller', 'J.K. Simmons', 'Paul Reiser', 'Melissa Benoist', 'Austin Stowell']",3300000,13092000,64.798,8.377,2010s
286,The Departed,"['Drama', 'Thriller', 'Crime']","['Jack Nicholson', 'Leonardo DiCaprio', 'Matt Damon', 'Mark Wahlberg', 'Vera Farmiga']",90000000,291465000,33.208,8.165,2000s
287,The Grand Budapest Hotel,"['Comedy', 'Drama']","['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody', 'Willem Dafoe']",30000000,174600318,27.33,8.057,2010s
288,Eternal Sunshine of the Spotless Mind,"['Science Fiction', 'Drama', 'Romance']","['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst', 'Mark Ruffalo', 'Elijah Wood']",20000000,72258126,45.14,8.101,2000s
289,Memento,"['Mystery', 'Thriller']","['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior', 'Russ Fega']",9000000,39723096,23.077,8.19,2000s
290,Iron Man 2,"['Adventure', 'Action', 'Science Fiction']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell']",200000000,623933331,141.696,6.834,2010s
291,Thor: Ragnarok,"['Action', 'Adventure', 'Fantasy', 'Science Fiction', 'Comedy']","['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Tessa Thompson', 'Jeff Goldblum']",180000000,855301806,104.484,7.599,2010s
292,Jurassic World,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins', 'Nick Robinson', ""Vincent D'Onofrio""]",150000000,1671537444,89.253,6.679,2010s
293,Batman Begins,"['Action', 'Crime', 'Drama']","['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman']",150000000,374218673,49.273,7.695,2000s
294,Inside Out,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","['Amy Poehler', 'Phyllis Smith', 'Bill Hader', 'Kaitlyn Dias', 'Richard Kind']",175000000,857611174,153.834,7.923,2010s
295,Harry Potter and the Goblet of Fire,"['Adventure', 'Fantasy', 'Family']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Brendan Gleeson', 'Robbie Coltrane']",150000000,895921036,210.489,7.817,2000s
296,Se7en,"['Crime', 'Mystery', 'Thriller']","['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'R. Lee Ermey', 'John C. McGinley']",33000000,327311859,43.017,8.4,1990s
297,Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Geoffrey Rush', 'Jack Davenport']",140000000,655011224,175.596,7.784,2000s
298,Harry Potter and the Deathly Hallows: Part 2,"['Fantasy', 'Adventure']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Ralph Fiennes', 'Alan Rickman']",125000000,1341511219,169.297,8.111,2010s
299,Wonder Woman,"['Action', 'Adventure', 'Fantasy']","['Gal Gadot', 'Chris Pine', 'Connie Nielsen', 'Robin Wright', 'Danny Huston']",149000000,822854286,73.397,7.239,2010s
300,Star Wars,"['Adventure', 'Action', 'Science Fiction']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness']",11000000,775398007,83.757,8.208,1970s
301,Up,"['Animation', 'Comedy', 'Family', 'Adventure']","['Ed Asner', 'Christopher Plummer', 'Jordan Nagai', 'Bob Peterson', 'Delroy Lindo']",175000000,735099082,99.807,7.943,2000s
302,Ant-Man,"['Science Fiction', 'Action', 'Adventure']","['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly', 'Bobby Cannavale', 'Corey Stoll']",130000000,519311965,128.802,7.083,2010s
303,The Martian,"['Drama', 'Adventure', 'Science Fiction']","['Matt Damon', 'Jessica Chastain', 'Jeff Daniels', 'Sean Bean', 'Chiwetel Ejiofor']",108000000,630161890,45.748,7.672,2010s
304,Star Wars: The Force Awakens,"['Adventure', 'Action', 'Science Fiction', 'Fantasy']","['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley']",245000000,2068223624,60.091,7.301,2010s
305,Back to the Future,"['Adventure', 'Comedy', 'Science Fiction']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover', 'Thomas F. Wilson']",19000000,381109762,84.613,8.312,1980s
